Whatsapp,Instagram,Snapchat,Telegram,Facebook,BeReal,TikTok,WeChat,Twitter,Linkedin,Messages,TotalSocialMediaScreenTime,Number of times opened (hourly intervals),SocialMediaAddiction
7.5,8.9,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,17.95,115.0,0.0
7.5,4.9,9.5,0.06,0.0,0.0,0.0,0.0,0.0,21.9,0.0,43.86,95.0,1.0
8.9,7.8,8.6,0.06,0.0,0.0,0.0,0.0,0.0,22.8,0.0,48.16,106.0,0.0
3.9,15.1,2.7,0.0,0.0,0.0,0.0,0.0,0.0,13.8,0.0,35.5,94.0,1.0
4.6,8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.2,0.0,23.4,121.0,0.0
6.7,11.1,0.0,0.11752873563218393,0.0,0.0,0.0,0.0,0.0,12.6,0.0,30.4,112.0,0.0
7.7,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.1,0.0,31.0,123.0,0.0
8.4,12.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.2,0.8,31.1,128.0,0.0
8.38,12.36,1.4,0.0,0.2,0.0,0.0,0.0,0.0,0.04,0.9,23.28,93.0,1.0
5.42,16.25,1.5,0.0,0.1,0.0,0.0,0.0,0.0,0.13,1.12,24.52,115.0,0.0
5.52,22.29,1.46,0.0,0.14,0.0,0.0,0.0,0.0,0.11,1.16,30.68,115.0,0.0
5.25,12.59,1.59,0.0,0.11,0.0,0.0,0.0,0.0,0.08,0.59,20.21,126.0,0.0
6.53,13.34,1.32,0.0,0.2,0.0,0.0,0.0,0.0,0.02,0.4,21.81,110.0,0.0
4.52,14.9,1.01,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.31,20.94,119.0,0.0
8.3,15.38,1.32,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.19,25.23,116.0,0.0
8.0,7.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,2.0,0.5,19.0,110.0,0.0
9.0,8.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,19.0,100.0,1.0
7.0,7.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,2.0,0.0,17.0,95.0,1.0
8.2,7.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.7,100.0,1.0
8.5,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,100.0,1.0
9.0,8.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18.3,95.0,1.0
10.0,9.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,2.0,0.25,22.75,110.0,0.0
20.0,4.34,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,24.69,45.0,1.0
12.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,16.5,44.0,1.0
21.0,4.5,0.14,0.0,1.15,0.0,0.0,0.0,0.0,0.11,0.0,26.9,54.0,1.0
20.93,4.75,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.0,26.18,66.0,1.0
13.99,2.83,0.0,0.0,0.55,0.0,0.0,0.0,0.0,1.51,0.0,18.88,78.0,1.0
22.03,4.88,0.14,0.0,1.15,0.0,0.0,0.0,0.0,0.13,0.0,28.33,62.0,1.0
17.17,4.73,0.35,0.0,0.04,0.0,0.0,0.0,0.0,0.42,0.0,22.71,111.44252873563218,1.0
0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.08,0.58,37.0,1.0
0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.0,0.0,0.67,36.0,1.0
0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.72,0.0,0.0,0.02,0.87,54.0,1.0
0.12,0.32,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.02,1.2,49.0,1.0
0.02,0.35,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.02,1.13,41.0,1.0
0.08,0.3,0.0,0.0,0.0,0.0,0.0,1.33,0.0,0.0,0.03,1.75,43.0,1.0
0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.13,0.78,37.0,1.0
5.01,5.24,2.04,0.0,0.27,0.0,0.0,0.0,0.0,3.21,1.31,17.08,148.0,0.0
3.22,6.24,2.31,0.0,0.0,0.0,0.0,0.0,0.0,3.49,1.45,16.71,192.0,0.0
3.03,12.16,2.26,0.0,0.0,0.0,0.0,0.0,0.0,4.05,1.16,22.66,257.0,0.0
5.46,5.17,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.28,1.17,14.18,187.0,0.0
4.26,5.57,1.55,0.0,0.0,0.0,0.0,0.0,0.0,1.12,1.45,13.95,210.0,0.0
4.32,4.05,2.48,0.0,0.0,0.0,0.0,0.0,0.0,0.56,1.37,12.78,192.0,0.0
6.15,4.29,1.48,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.4,14.62,187.0,0.0
11.5,6.7,0.01,0.01,0.5,0.0,0.0,0.0,0.0,6.0,0.1,24.82,100.0,1.0
11.2,8.2,0.01,0.01,0.1,0.0,0.0,0.0,0.0,5.0,0.0,24.52,101.0,1.0
10.0,8.1,0.01,0.02,0.6,0.0,0.0,0.0,0.0,6.0,0.0,24.73,110.0,0.0
3.0,3.6,0.01,0.01,0.3,0.0,0.0,0.0,0.0,8.0,0.01,14.93,200.0,0.0
9.0,8.0,0.01,0.02,0.6,0.0,0.0,0.0,0.0,6.0,0.01,23.64,125.0,0.0
10.0,10.5,0.01,0.01,0.5,0.0,0.0,0.0,0.0,4.0,0.0,25.02,135.0,0.0
12.0,9.5,0.0,0.0,0.1,0.0,0.0,0.0,0.0,2.0,0.0,23.6,130.0,0.0
8.1,10.7,7.9,0.0,0.0,0.0,0.0,0.0,0.0,22.7,0.0,49.4,102.0,1.0
10.3,10.5,7.3,0.0,0.0,0.0,0.0,0.0,0.0,22.3,0.1,50.5,117.0,0.0
14.5,11.5,8.8,0.0,0.0,0.0,0.0,0.0,0.0,20.4,0.4,55.6,123.0,0.0
13.4,11.3,7.4,0.0,0.0,0.0,0.0,0.0,0.0,19.5,0.0,51.6,112.0,0.0
13.8,10.6,8.1,0.0,0.0,0.0,0.0,0.0,0.0,18.7,0.0,51.2,128.0,0.0
12.7,10.4,8.3,0.0,0.0,0.0,0.0,0.0,0.0,17.4,0.2,49.0,115.0,0.0
10.3,8.4,5.1,0.0,0.0,0.0,0.0,0.0,0.0,10.5,0.0,34.3,96.0,1.0
11.07,2.5,0.28,0.06,0.39,0.0,0.0,0.0,0.0,1.55,0.42,16.27,89.0,1.0
8.37,3.05,0.29,0.14,1.14,0.0,0.0,0.0,0.0,0.54,0.14,13.67,101.0,1.0
8.13,2.43,0.23,0.09,0.59,0.0,0.0,0.0,0.0,1.07,0.35,12.89,96.0,1.0
8.45,3.1,0.16,1.1,2.35,0.0,0.0,0.0,0.0,0.41,0.42,15.99,98.0,1.0
9.52,2.54,0.23,0.11,1.08,0.0,0.0,0.0,0.0,0.59,1.05,15.12,100.0,1.0
6.26,3.14,0.08,0.21,0.29,0.0,0.0,0.0,0.0,1.02,0.24,11.24,96.0,1.0
7.17,6.41,0.09,0.24,0.23,0.0,0.0,0.0,0.0,0.33,1.46,15.93,111.0,0.0
12.58,4.23,0.0,0.0,1.5,0.0,0.0,0.0,0.0,3.6,0.06,21.97,105.0,0.0
16.98,7.58,0.0,0.0,1.45,0.0,0.0,0.0,0.0,4.6,0.21,30.82,141.0,0.0
15.95,14.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.8,0.68,37.43,178.0,0.0
14.2,8.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,8.0,0.2,30.9,129.0,0.0
12.2,5.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2.4,0.3,20.4,102.0,1.0
9.1,7.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.1,0.04,17.74,90.0,1.0
10.0,9.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,2.0,0.0,21.3,103.0,1.0
8.43,0.0,0.0,2.39,0.0,0.0,0.0,0.0,0.02,1.36,0.15,12.35,81.0,1.0
6.2,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.04,1.2,0.22,8.22,84.0,1.0
6.28,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.05,1.19,0.09,7.9,99.0,1.0
7.19,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.22,2.01,0.04,9.75,153.0,0.0
11.34,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.14,3.04,0.16,14.89,95.0,1.0
8.3,0.0,0.0,1.05,0.0,0.0,0.0,0.0,0.09,1.56,0.05,11.05,104.0,1.0
9.05,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.05,1.42,0.05,10.96,100.0,1.0
9.34,18.5,1.2,0.0,2.34,0.19,0.0,0.0,4.23,0.32,0.0,36.12,154.0,0.0
7.49,18.58,0.52,0.0,1.5,0.28,0.0,0.0,8.5,0.12,0.0,36.99,137.0,0.0
7.22,10.33,1.12,0.0,0.28,0.1,0.0,0.0,4.27,0.08,0.0,23.4,81.0,1.0
5.46,7.35,0.42,0.0,0.12,0.9,0.0,0.0,2.2,0.12,0.0,16.57,37.0,1.0
5.47,16.43,0.49,0.0,0.35,0.21,0.0,0.0,5.3,2.04,0.0,30.29,64.0,1.0
4.4,10.48,0.42,0.0,1.3,0.16,0.0,0.0,4.27,1.36,0.0,22.39,49.0,1.0
4.34,12.43,0.53,0.0,0.23,0.2,0.0,0.0,5.39,0.12,0.0,23.24,55.0,1.0
9.63,7.35,0.0,0.0,0.0,0.0,0.0,0.0,0.37,3.45,0.13,20.93,143.0,0.0
8.73,7.8,0.0,0.34,0.0,0.0,0.0,0.0,0.56,4.1,0.09,21.62,161.0,0.0
5.8,4.75,0.0,0.0,0.0,0.0,0.0,0.0,0.53,4.6,0.11,15.79,114.0,0.0
4.48,6.38,0.0,0.0,0.0,0.0,0.0,0.0,0.78,3.86,0.15,15.65,124.0,0.0
4.2,6.15,0.0,0.0,0.0,0.0,0.0,0.0,0.54,2.45,0.16,13.5,110.0,0.0
3.87,6.13,0.0,0.0,0.0,0.0,0.0,0.0,0.6,3.2,0.1,13.9,141.0,0.0
5.18,5.19,0.0,0.0,0.0,0.0,0.0,0.0,0.4,2.4,0.2,13.37,130.0,0.0
10.0,7.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,4.0,1.0,23.5,109.0,0.0
12.25,8.2,1.0,0.25,0.0,0.0,0.0,0.0,0.0,3.0,0.0,24.7,130.0,0.0
9.0,9.7,0.3,0.5,0.5,0.0,0.0,0.0,0.6,2.0,0.0,22.6,97.0,1.0
7.25,12.67,0.8,0.0,0.0,0.0,0.0,0.0,0.0,6.8,0.31,27.83,196.0,0.0
8.84,4.77,1.82,0.0,0.0,0.0,0.0,0.0,0.0,9.74,0.57,25.74,152.0,0.0
9.0,10.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,25.5,150.0,0.0
6.43,7.16,0.62,0.35,0.0,0.0,0.0,0.0,0.0,8.87,0.0,23.43,128.0,0.0
6.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,30.0,94.0,1.0
7.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,31.0,86.0,1.0
7.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,26.0,81.0,1.0
8.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,28.0,82.0,1.0
5.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,25.0,80.0,1.0
7.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,26.0,82.0,1.0
9.25,9.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,8.0,10.3,39.85,97.0,1.0
5.5,10.4,1.0,0.12,0.0,0.0,0.0,0.0,0.0,3.5,0.1,20.62,200.0,0.0
3.22,6.28,1.49,0.1,0.0,0.0,0.0,0.0,0.0,2.5,0.5,14.09,79.0,1.0
4.2,8.45,1.4,0.11,0.0,0.0,0.0,0.0,0.0,1.3,0.3,15.76,154.0,0.0
3.4,5.25,1.5,0.15,0.0,0.0,0.0,0.0,0.0,1.2,0.2,11.7,107.0,0.0
3.32,2.28,1.2,0.18,0.0,0.0,0.0,0.0,0.0,0.34,0.3,7.62,94.0,1.0
5.3,16.7,0.45,0.9,0.0,0.0,0.0,0.0,0.0,0.22,0.0,23.57,256.0,0.0
3.59,12.28,0.51,0.11,0.0,0.0,0.0,0.0,0.0,0.17,0.0,16.66,167.0,0.0
22.5,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.01,47.01,147.0,0.0
19.5,18.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.01,39.51,119.0,0.0
18.5,17.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,38.0,113.0,0.0
20.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,39.5,120.0,0.0
15.0,13.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,30.5,115.0,0.0
12.0,14.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,28.0,109.0,0.0
19.0,15.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,36.0,116.0,0.0
12.55,19.12,1.56,0.09,0.07,0.0,0.0,0.0,0.0,0.47,0.04,33.9,135.0,0.0
10.13,17.35,1.52,0.13,0.0,0.0,0.0,0.0,0.0,3.05,0.03,32.21,121.0,0.0
8.12,21.53,1.04,0.02,0.0,0.0,0.0,0.0,0.0,2.05,0.04,32.8,141.0,0.0
9.01,15.35,1.02,0.0,0.0,0.0,0.0,0.0,0.0,3.01,0.04,28.43,132.0,0.0
9.3,16.01,1.11,0.0,0.0,0.0,0.0,0.0,0.0,2.07,0.03,28.52,142.0,0.0
7.2,15.04,0.56,0.0,0.0,0.0,0.0,0.0,0.0,1.15,0.05,24.0,134.0,0.0
8.1,14.03,0.54,0.0,0.0,0.0,0.0,0.0,0.0,1.13,0.05,23.85,145.0,0.0
12.13,3.0,0.5,0.9,0.0,0.0,0.0,0.0,0.0,0.9,0.15,17.58,119.0,0.0
9.5,2.3,0.2,0.3,0.0,0.0,0.0,0.0,0.0,1.3,0.12,13.72,112.0,0.0
10.5,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.7,0.04,11.3,126.0,0.0
11.36,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.25,0.06,11.68,105.0,0.0
7.7,0.0,0.0,1.22,0.0,0.0,0.0,0.0,0.0,1.23,0.03,10.18,105.0,0.0
9.7,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,2.43,0.06,16.69,112.0,0.0
12.5,14.3,0.0,0.4,0.0,0.0,0.0,0.0,0.0,2.5,0.08,29.78,134.0,0.0
4.52,10.6,2.19,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.019,17.529,115.0,0.0
5.21,9.28,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.07,17.28,117.0,0.0
2.14,10.8,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.03,14.48,93.0,1.0
5.1,10.35,1.29,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.05,16.99,108.0,0.0
3.4,7.2,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.06,69.0,1.0
5.2,11.0,0.57,0.0,1.7,0.0,0.46,0.0,0.0,0.14,0.0,19.07,75.0,1.0
5.23,13.8,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.53,121.0,0.0
0.04,7.6,0.0,0.0,0.0,0.0,0.6,7.1,0.0,0.35,0.82,16.51,83.0,1.0
0.0,1.8,0.0,0.0,0.0,0.0,3.9,6.83,0.33,0.15,1.4,14.41,63.0,1.0
0.73,6.33,0.0,0.0,0.0,0.0,2.33,7.5,0.21,0.04,1.28,18.42,97.0,1.0
0.15,9.3,0.0,0.0,0.0,0.0,2.5,9.5,0.67,0.5,1.5,24.12,102.0,1.0
0.03,7.2,0.0,0.0,0.0,0.0,1.5,10.5,0.33,0.33,1.35,21.24,98.0,1.0
0.05,3.6,0.0,0.0,0.0,0.0,1.33,5.0,0.5,0.67,1.8,12.95,57.0,1.0
0.01,10.0,0.0,0.0,0.0,0.0,2.7,10.0,0.6,2.3,1.0,26.61,127.0,0.0
